complaint_id,created_date,closed_date,category,subcategory,status,zone_id,latitude,longitude,severity,resolution_days,description
CMP-000060,2025-01-03T22:56:00,2025-01-11T22:56:00,water,leak,closed,Z05,17.489613,78.417123,4,8,water issue reported near West Gate
CMP-000061,2025-01-03T15:41:00,2025-01-04T15:41:00,sanitation,drain_clogged,closed,Z06,17.38088,78.448661,3,4,sanitation issue reported near Riverside
CMP-000062,2025-01-03T13:47:00,2025-01-04T13:47:00,sanitation,odor,closed,Z09,17.354183,78.450281,3,1,sanitation issue reported near Lakeview
CMP-000063,2025-01-03T22:11:00,2025-01-09T22:11:00,pothole,highway,closed,Z11,17.496102,78.566526,3,6,pothole issue reported near Greenfield
CMP-000064,2025-01-03T00:45:00,2025-01-12T00:45:00,water,main_break,closed,Z04,17.494859,78.510672,2,9,water issue reported near South Market
CMP-000065,2025-01-03T03:55:00,2025-01-10T03:55:00,sanitation,drain_clogged,closed,Z15,17.4931,78.450496,3,7,sanitation issue reported near Central Park
CMP-000066,2025-01-03T15:04:00,2025-01-08T15:04:00,noise,construction,closed,Z02,17.330345,78.562228,2,5,noise issue reported near North Hills
CMP-000067,2025-01-03T17:48:00,2025-01-04T17:48:00,water,leak,closed,Z02,17.376076,78.581701,2,1,water issue reported near North Hills
CMP-000068,2025-01-03T09:36:00,,water,main_break,open,Z13,17.489518,78.441558,5,,water issue reported near University District
CMP-000069,2025-01-03T07:11:00,2025-01-06T07:11:00,streetlight,pole_damaged,closed,Z04,17.358252,78.446295,2,3,streetlight issue reported near South Market
CMP-000070,2025-01-03T07:59:00,2025-01-12T07:59:00,sanitation,drain_clogged,closed,Z04,17.385028,78.508912,5,11,sanitation issue reported near South Market
CMP-000071,2025-01-03T09:38:00,2025-01-07T09:38:00,streetlight,pole_damaged,closed,Z01,17.437736,78.539947,2,4,streetlight issue reported near Downtown Core
CMP-000072,2025-01-03T01:56:00,2025-01-04T01:56:00,water,leak,closed,Z07,17.350074,78.418265,2,1,water issue reported near Old Town
CMP-000073,2025-01-03T21:52:00,2025-01-07T21:52:00,sanitation,odor,closed,Z13,17.483215,78.436298,3,4,sanitation issue reported near University District
CMP-000074,2025-01-03T02:30:00,2025-01-15T02:30:00,trash,overflow_bin,closed,Z06,17.434027,78.571547,4,13,trash issue reported near Riverside
CMP-000075,2025-01-03T21:25:00,2025-01-09T21:25:00,water,discolored,closed,Z06,17.364655,78.594037,3,6,water issue reported near Riverside
CMP-000076,2025-01-04T17:29:00,,trash,overflow_bin,open,Z13,17.424527,78.499699,1,,trash issue reported near University District
CMP-000077,2025-01-04T17:08:00,2025-01-11T17:08:00,noise,construction,closed,Z12,17.494629,78.521774,2,7,noise issue reported near Harbour Point
CMP-000078,2025-01-04T00:35:00,2025-01-07T00:35:00,streetlight,broken,closed,Z11,17.39229,78.423493,3,3,streetlight issue reported near Greenfield
CMP-000079,2025-01-04T08:26:00,2025-01-12T08:26:00,streetlight,flickering,closed,Z07,17.376717,78.584374,3,9,streetlight issue reported near Old Town
CMP-000080,2025-01-04T02:17:00,2025-01-04T02:17:00,trash,hazardous,closed,Z12,17.367975,78.557543,2,0,trash issue reported near Harbour Point
CMP-000081,2025-01-04T09:53:00,2025-01-04T09:53:00,water,no_water,closed,Z13,17.407716,78.469025,2,0,water issue reported near University District
CMP-000082,2025-01-04T10:55:00,2025-01-04T10:55:00,trash,illegal_dumping,closed,Z12,17.41436,78.446712,3,0,trash issue reported near Harbour Point
CMP-000083,2025-01-04T22:58:00,2025-01-17T22:58:00,noise,traffic,closed,Z01,17.399066,78.407404,4,13,noise issue reported near Downtown Core
CMP-000084,2025-01-04T03:55:00,2025-01-06T03:55:00,trash,hazardous,closed,Z15,17.30307,78.428831,3,2,trash issue reported near Central Park
CMP-000085,2025-01-04T08:21:00,2025-01-06T08:21:00,sanitation,odor,closed,Z15,17.490828,78.52536,2,2,sanitation issue reported near Central Park
CMP-000086,2025-01-04T02:15:00,2025-01-06T02:15:00,noise,nightlife,closed,Z13,17.499485,78.549353,1,2,noise issue reported near University District
CMP-000087,2025-01-04T22:55:00,2025-01-14T22:55:00,noise,construction,closed,Z15,17.364875,78.411224,4,14,noise issue reported near Central Park
CMP-000088,2025-01-04T16:26:00,2025-01-10T16:26:00,water,low_pressure,closed,Z05,17.333997,78.415794,2,6,water issue reported near West Gate
CMP-000089,2025-01-04T18:09:00,2025-01-09T18:09:00,noise,construction,closed,Z09,17.479782,78.493051,2,5,noise issue reported near Lakeview
CMP-000090,2025-01-04T14:22:00,2025-01-13T14:22:00,water,no_water,closed,Z11,17.438063,78.491367,2,9,water issue reported near Greenfield
CMP-000091,2025-01-04T07:24:00,2025-01-05T07:24:00,water,no_water,closed,Z03,17.354896,78.513186,3,1,water issue reported near East Junction
CMP-000092,2025-01-04T23:31:00,2025-01-13T23:31:00,sanitation,manhole_overflow,closed,Z12,17.455148,78.446024,5,9,sanitation issue reported near Harbour Point
CMP-000093,2025-01-04T21:43:00,2025-01-19T21:43:00,water,main_break,closed,Z11,17.361787,78.488165,4,15,water issue reported near Greenfield
CMP-000094,2025-01-04T09:20:00,2025-01-05T09:20:00,trash,illegal_dumping,closed,Z05,17.326432,78.507882,2,1,trash issue reported near West Gate
CMP-000095,2025-01-04T05:16:00,2025-01-26T05:16:00,water,discolored,closed,Z08,17.460847,78.493666,5,22,water issue reported near Tech Park
CMP-000096,2025-01-04T23:43:00,2025-01-09T23:43:00,pothole,highway,closed,Z02,17.318061,78.478915,5,5,pothole issue reported near North Hills
CMP-000097,2025-01-04T21:47:00,2025-01-07T21:47:00,water,discolored,closed,Z08,17.321669,78.446764,3,3,water issue reported near Tech Park
CMP-000098,2025-01-04T19:14:00,,pothole,alley,open,Z09,17.481878,78.460438,5,,pothole issue reported near Lakeview
CMP-000099,2025-01-04T01:19:00,2025-01-10T01:19:00,noise,traffic,closed,Z02,17.377729,78.474202,1,6,noise issue reported near North Hills
CMP-000100,2025-01-04T23:09:00,2025-01-08T23:09:00,sanitation,sewer_backup,closed,Z11,17.466739,78.52313,3,4,sanitation issue reported near Greenfield
CMP-000101,2025-01-05T07:54:00,2025-01-05T07:54:00,pothole,highway,closed,Z11,17.31211,78.455176,2,0,pothole issue reported near Greenfield
CMP-000102,2025-01-05T06:41:00,2025-01-26T06:41:00,pothole,major_road,closed,Z15,17.310116,78.466702,5,22,pothole issue reported near Central Park
CMP-000103,2025-01-05T17:13:00,2025-01-05T17:13:00,streetlight,flickering,closed,Z12,17.457729,78.519196,2,0,streetlight issue reported near Harbour Point
CMP-000104,2025-01-05T04:34:00,2025-01-07T04:34:00,water,main_break,closed,Z13,17.432212,78.405156,2,2,water issue reported near University District
CMP-000105,2025-01-05T00:11:00,2025-01-16T00:11:00,pothole,major_road,closed,Z05,17.395249,78.555603,4,11,pothole issue reported near West Gate
CMP-000106,2025-01-05T07:39:00,2025-01-07T07:39:00,trash,overflow_bin,closed,Z09,17.391609,78.592805,3,6,trash issue reported near Lakeview
CMP-000107,2025-01-05T03:31:00,2025-01-15T03:31:00,pothole,residential_street,closed,Z15,17.313136,78.455003,4,10,pothole issue reported near Central Park
CMP-000108,2025-01-05T19:33:00,2025-01-11T19:33:00,sanitation,odor,closed,Z09,17.319836,78.540356,4,6,sanitation issue reported near Lakeview
CMP-000109,2025-01-05T06:27:00,2025-01-13T06:27:00,sanitation,odor,closed,Z10,17.383198,78.419017,4,8,sanitation issue reported near Industrial Zone
CMP-000110,2025-01-05T04:43:00,2025-01-10T04:43:00,noise,construction,closed,Z04,17.466354,78.418646,2,5,noise issue reported near South Market
CMP-000111,2025-01-05T01:37:00,2025-01-23T01:37:00,pothole,highway,closed,Z12,17.474721,78.588226,4,18,pothole issue reported near Harbour Point
CMP-000112,2025-01-05T09:38:00,2025-01-15T09:38:00,noise,traffic,closed,Z13,17.330946,78.496438,4,10,noise issue reported near University District
CMP-000113,2025-01-05T08:36:00,2025-01-17T08:36:00,pothole,major_road,closed,Z05,17.421799,78.531566,4,12,pothole issue reported near West Gate
CMP-000114,2025-01-05T09:58:00,2025-01-13T09:58:00,sanitation,drain_clogged,closed,Z04,17.473973,78.513264,2,8,sanitation issue reported near South Market
CMP-000115,2025-01-05T00:05:00,2025-01-16T00:05:00,noise,traffic,closed,Z01,17.374011,78.544319,4,11,noise issue reported near Downtown Core
CMP-000116,2025-01-05T04:10:00,2025-01-13T04:10:00,trash,missed_pickup,closed,Z09,17.354421,78.532388,4,8,trash issue reported near Lakeview
CMP-000117,2025-01-05T06:48:00,2025-01-07T06:48:00,noise,industrial,closed,Z09,17.405387,78.461684,3,2,noise issue reported near Lakeview
CMP-000118,2025-01-05T00:13:00,2025-01-09T00:13:00,streetlight,flickering,closed,Z06,17.452832,78.457889,3,4,streetlight issue reported near Riverside
CMP-000119,2025-01-05T12:34:00,2025-01-15T12:34:00,pothole,highway,closed,Z01,17.314415,78.572353,5,10,pothole issue reported near Downtown Core
CMP-000120,2025-01-05T10:36:00,2025-01-11T10:36:00,pothole,alley,closed,Z06,17.357903,78.481006,4,6,pothole issue reported near Riverside
CMP-000121,2025-01-05T22:58:00,2025-01-07T22:58:00,water,leak,closed,Z03,17.38009,78.415729,3,2,water issue reported near East Junction
CMP-000122,2025-01-05T05:04:00,2025-01-12T05:04:00,water,leak,closed,Z12,17.40199,78.581185,2,7,water issue reported near Harbour Point
CMP-000123,2025-01-05T20:52:00,2025-01-14T20:52:00,water,leak,closed,Z05,17.330574,78.55183,5,13,water issue reported near West Gate
CMP-000124,2025-01-05T18:28:00,2025-01-11T18:28:00,pothole,highway,closed,Z03,17.472849,78.525443,3,6,pothole issue reported near East Junction
CMP-000125,2025-01-06T09:50:00,,noise,industrial,open,Z01,17.390383,78.411378,3,,noise issue reported near Downtown Core
CMP-000126,2025-01-06T02:39:00,2025-01-19T02:39:00,water,no_water,closed,Z01,17.416066,78.590846,4,13,water issue reported near Downtown Core
CMP-000127,2025-01-06T20:12:00,2025-01-09T20:12:00,sanitation,odor,closed,Z14,17.3207,78.579825,3,3,sanitation issue reported near Hilltop
CMP-000128,2025-01-06T20:11:00,2025-01-08T20:11:00,water,no_water,closed,Z15,17.498197,78.504814,2,8,water issue reported near Central Park
CMP-000129,2025-01-06T13:49:00,2025-01-08T13:49:00,trash,overflow_bin,closed,Z03,17.313182,78.418901,2,2,trash issue reported near East Junction
CMP-000130,2025-01-06T19:55:00,2025-01-11T19:55:00,sanitation,drain_clogged,closed,Z06,17.483349,78.462046,2,8,sanitation issue reported near Riverside
CMP-000131,2025-01-06T02:19:00,2025-01-06T02:19:00,sanitation,sewer_backup,closed,Z11,17.429205,78.484681,3,0,sanitation issue reported near Greenfield
CMP-000132,2025-01-06T06:21:00,2025-01-09T06:21:00,water,low_pressure,closed,Z01,17.499995,78.430989,3,3,water issue reported near Downtown Core
CMP-000133,2025-01-06T17:53:00,2025-01-10T17:53:00,water,leak,closed,Z13,17.32621,78.475344,2,4,water issue reported near University District
CMP-000134,2025-01-06T05:46:00,,streetlight,missing,open,Z03,17.435273,78.447506,3,,streetlight issue reported near East Junction
CMP-000135,2025-01-06T14:14:00,2025-01-13T14:14:00,noise,traffic,closed,Z09,17.373568,78.589426,4,7,noise issue reported near Lakeview
CMP-000136,2025-01-06T06:51:00,2025-01-10T06:51:00,noise,nightlife,closed,Z07,17.310436,78.496118,2,4,noise issue reported near Old Town
CMP-000137,2025-01-06T16:54:00,2025-01-11T16:54:00,water,leak,closed,Z08,17.32947,78.487495,2,5,water issue reported near Tech Park
CMP-000138,2025-01-06T00:26:00,2025-01-08T00:26:00,streetlight,missing,closed,Z13,17.347156,78.598905,4,13,streetlight issue reported near University District
CMP-000139,2025-01-06T03:53:00,2025-01-10T03:53:00,water,discolored,closed,Z04,17.483479,78.494491,3,4,water issue reported near South Market
CMP-000140,2025-01-06T19:00:00,,streetlight,missing,open,Z12,17.343131,78.429904,3,,streetlight issue reported near Harbour Point
CMP-000141,2025-01-06T07:19:00,2025-01-12T07:19:00,sanitation,odor,closed,Z09,17.312561,78.567338,3,6,sanitation issue reported near Lakeview
CMP-000142,2025-01-06T16:36:00,2025-01-12T16:36:00,noise,nightlife,closed,Z09,17.385848,78.522962,1,6,noise issue reported near Lakeview
CMP-000143,2025-01-06T21:05:00,2025-01-08T21:05:00,streetlight,broken,closed,Z09,17.378091,78.494027,2,2,streetlight issue reported near Lakeview
CMP-000144,2025-01-06T11:50:00,2025-01-09T11:50:00,sanitation,sewer_backup,closed,Z06,17.4543,78.547037,3,4,sanitation issue reported near Riverside
CMP-000145,2025-01-06T10:52:00,2025-01-07T10:52:00,water,no_water,closed,Z02,17.426347,78.5623,3,1,water issue reported near North Hills
CMP-000146,2025-01-07T01:50:00,2025-01-07T01:50:00,sanitation,manhole_overflow,closed,Z12,17.486674,78.503077,3,0,sanitation issue reported near Harbour Point
CMP-000147,2025-01-07T10:17:00,2025-01-22T10:17:00,sanitation,odor,closed,Z03,17.478927,78.477329,4,15,sanitation issue reported near East Junction
CMP-000148,2025-01-07T16:17:00,2025-01-22T16:17:00,streetlight,pole_damaged,closed,Z07,17.315785,78.520491,5,15,streetlight issue reported near Old Town
CMP-000149,2025-01-07T02:20:00,2025-01-10T02:20:00,streetlight,flickering,closed,Z08,17.437953,78.470309,3,3,streetlight issue reported near Tech Park
CMP-000150,2025-01-07T13:17:00,2025-01-15T13:17:00,pothole,major_road,closed,Z11,17.315008,78.527503,5,8,pothole issue reported near Greenfield
CMP-000151,2025-01-07T05:01:00,2025-01-23T05:01:00,water,low_pressure,closed,Z08,17.313447,78.555703,4,16,water issue reported near Tech Park
CMP-000152,2025-01-07T01:38:00,2025-01-12T01:38:00,water,discolored,closed,Z05,17.374403,78.552617,5,17,water issue reported near West Gate
CMP-000153,2025-01-07T10:41:00,2025-01-08T10:41:00,trash,hazardous,closed,Z02,17.403549,78.582709,3,3,trash issue reported near North Hills
CMP-000154,2025-01-07T19:18:00,2025-01-19T19:18:00,pothole,alley,closed,Z04,17.340036,78.427146,2,12,pothole issue reported near South Market
CMP-000155,2025-01-07T21:54:00,,pothole,highway,open,Z07,17.478266,78.570272,4,,pothole issue reported near Old Town
CMP-000156,2025-01-07T11:32:00,2025-01-15T11:32:00,sanitation,drain_clogged,closed,Z11,17.458413,78.447347,4,11,sanitation issue reported near Greenfield
CMP-000157,2025-01-07T11:29:00,2025-01-13T11:29:00,noise,construction,closed,Z01,17.361858,78.599919,3,6,noise issue reported near Downtown Core
CMP-000158,2025-01-07T04:20:00,,sanitation,odor,open,Z07,17.436022,78.468903,3,,sanitation issue reported near Old Town
CMP-000159,2025-01-07T04:27:00,2025-01-07T04:27:00,trash,illegal_dumping,closed,Z10,17.360825,78.432393,2,0,trash issue reported near Industrial Zone
CMP-000160,2025-01-07T09:54:00,2025-01-10T09:54:00,sanitation,manhole_overflow,closed,Z04,17.325034,78.460565,5,11,sanitation issue reported near South Market
CMP-000161,2025-01-07T18:37:00,2025-01-14T18:37:00,trash,overflow_bin,closed,Z02,17.468506,78.512724,3,7,trash issue reported near North Hills
CMP-000162,2025-01-07T08:41:00,2025-01-14T08:41:00,pothole,alley,closed,Z01,17.423622,78.406057,5,18,pothole issue reported near Downtown Core
CMP-000163,2025-01-07T07:51:00,,sanitation,sewer_backup,open,Z08,17.331616,78.483124,3,,sanitation issue reported near Tech Park
CMP-000164,2025-01-07T22:20:00,2025-01-09T22:20:00,noise,nightlife,closed,Z03,17.495075,78.426153,3,2,noise issue reported near East Junction
CMP-000165,2025-01-07T07:29:00,2025-01-12T07:29:00,water,discolored,closed,Z08,17.489077,78.572833,2,7,water issue reported near Tech Park
CMP-000166,2025-01-08T10:59:00,2025-01-23T10:59:00,streetlight,flickering,closed,Z15,17.452624,78.499653,5,15,streetlight issue reported near Central Park
CMP-000167,2025-01-08T02:25:00,2025-01-08T02:25:00,trash,missed_pickup,closed,Z07,17.310108,78.498979,3,0,trash issue reported near Old Town
CMP-000168,2025-01-08T03:27:00,2025-01-12T03:27:00,sanitation,manhole_overflow,closed,Z11,17.452771,78.473187,3,4,sanitation issue reported near Greenfield
CMP-000169,2025-01-08T11:35:00,2025-01-12T11:35:00,noise,nightlife,closed,Z01,17.465062,78.524648,3,4,noise issue reported near Downtown Core
CMP-000170,2025-01-08T12:23:00,2025-01-24T12:23:00,trash,overflow_bin,closed,Z02,17.450993,78.439812,5,16,trash issue reported near North Hills
CMP-000171,2025-01-08T01:08:00,2025-01-11T01:08:00,trash,illegal_dumping,closed,Z06,17.365593,78.522614,1,3,trash issue reported near Riverside
CMP-000172,2025-01-08T09:37:00,2025-01-08T09:37:00,streetlight,pole_damaged,closed,Z06,17.441748,78.459958,3,0,streetlight issue reported near Riverside
CMP-000173,2025-01-08T18:19:00,2025-01-22T18:19:00,pothole,alley,closed,Z05,17.353106,78.531118,4,14,pothole issue reported near West Gate
CMP-000174,2025-01-08T18:30:00,2025-01-12T18:30:00,trash,hazardous,closed,Z09,17.329555,78.536145,4,4,trash issue reported near Lakeview
CMP-000175,2025-01-08T14:20:00,2025-01-15T14:20:00,pothole,alley,closed,Z09,17.474564,78.547167,5,7,pothole issue reported near Lakeview
CMP-000176,2025-01-08T21:30:00,2025-01-14T21:30:00,pothole,residential_street,closed,Z11,17.391933,78.506625,3,6,pothole issue reported near Greenfield
CMP-000177,2025-01-08T23:43:00,2025-01-15T23:43:00,trash,illegal_dumping,closed,Z05,17.355801,78.4597,4,7,trash issue reported near West Gate
CMP-000178,2025-01-08T22:45:00,2025-01-13T22:45:00,water,discolored,closed,Z12,17.412098,78.586897,4,5,water issue reported near Harbour Point
CMP-000179,2025-01-08T12:57:00,2025-01-18T12:57:00,sanitation,manhole_overflow,closed,Z04,17.308413,78.591063,2,10,sanitation issue reported near South Market
CMP-000180,2025-01-08T15:13:00,2025-01-12T15:13:00,pothole,highway,closed,Z05,17.486605,78.539234,3,4,pothole issue reported near West Gate
CMP-000181,2025-01-08T07:15:00,2025-01-16T07:15:00,streetlight,broken,closed,Z02,17.32004,78.466059,4,22,streetlight issue reported near North Hills
CMP-000182,2025-01-08T00:35:00,2025-01-23T00:35:00,noise,industrial,closed,Z02,17.39549,78.439891,4,15,noise issue reported near North Hills
CMP-000183,2025-01-08T02:41:00,2025-01-09T02:41:00,water,main_break,closed,Z05,17.482646,78.435013,3,1,water issue reported near West Gate
CMP-000184,2025-01-08T12:50:00,2025-01-11T12:50:00,streetlight,missing,closed,Z15,17.475349,78.401853,1,3,streetlight issue reported near Central Park
CMP-000185,2025-01-08T10:18:00,2025-01-13T10:18:00,trash,illegal_dumping,closed,Z09,17.470212,78.493604,5,5,trash issue reported near Lakeview
CMP-000186,2025-01-08T23:29:00,2025-01-14T23:29:00,streetlight,flickering,closed,Z13,17.302817,78.467422,3,6,streetlight issue reported near University District
CMP-000187,2025-01-08T05:39:00,2025-01-26T05:39:00,water,discolored,closed,Z09,17.317348,78.533851,4,18,water issue reported near Lakeview
