incident_id,date,time,zone_id,latitude,longitude,severity,type,road_type,weather_condition,injuries,fatalities
INC-000027,2025-01-04,07:11,Z11,17.380389,78.562091,5,multi_vehicle,local,clear,3,0
INC-000028,2025-01-04,13:13,Z01,17.473352,78.503505,3,cyclist,local,clear,3,0
INC-000029,2025-01-04,04:13,Z13,17.479666,78.438463,3,cyclist,collector,clear,1,0
INC-000030,2025-01-05,13:31,Z05,17.386151,78.411534,5,multi_vehicle,arterial,clear,3,1
INC-000031,2025-01-05,07:15,Z13,17.31771,78.432603,4,pedestrian,collector,clear,1,0
INC-000032,2025-01-05,22:03,Z14,17.339984,78.455156,3,collision,highway,clear,3,0
INC-000033,2025-01-05,22:14,Z08,17.466326,78.469781,2,collision,local,storm,2,0
INC-000034,2025-01-05,22:25,Z06,17.433137,78.535719,4,pedestrian,collector,clear,2,0
INC-000035,2025-01-05,16:26,Z08,17.382035,78.497361,2,multi_vehicle,highway,clear,1,0
INC-000036,2025-01-05,00:15,Z05,17.393577,78.576521,1,cyclist,highway,clear,0,0
INC-000037,2025-01-05,08:38,Z12,17.354811,78.566366,2,collision,local,rain,0,0
INC-000038,2025-01-05,16:12,Z11,17.394737,78.560677,2,collision,arterial,storm,0,0
INC-000039,2025-01-06,02:28,Z04,17.425426,78.575727,3,multi_vehicle,collector,clear,2,0
INC-000040,2025-01-06,18:44,Z06,17.324998,78.416549,3,single_vehicle,collector,clear,3,0
INC-000041,2025-01-06,11:10,Z05,17.351251,78.490082,3,cyclist,local,clear,0,0
INC-000042,2025-01-06,18:23,Z09,17.330195,78.530146,2,cyclist,highway,clear,1,0
INC-000043,2025-01-06,20:42,Z05,17.38081,78.450755,1,single_vehicle,collector,clear,0,0
INC-000044,2025-01-06,13:08,Z06,17.318889,78.592542,3,cyclist,highway,storm,3,0
INC-000045,2025-01-06,00:20,Z14,17.457364,78.568026,3,pedestrian,local,clear,2,0
INC-000046,2025-01-06,20:31,Z01,17.381718,78.525132,4,multi_vehicle,highway,rain,4,0
INC-000047,2025-01-07,07:22,Z03,17.387351,78.49737,4,pedestrian,arterial,clear,4,0
INC-000048,2025-01-07,00:47,Z11,17.380268,78.459347,1,single_vehicle,highway,clear,0,0
INC-000049,2025-01-07,06:41,Z04,17.443468,78.412342,4,collision,local,rain,1,0
INC-000050,2025-01-07,23:21,Z12,17.316891,78.507223,2,pedestrian,collector,clear,1,0
INC-000051,2025-01-07,20:36,Z14,17.481489,78.495429,3,single_vehicle,arterial,fog,0,0
INC-000052,2025-01-07,06:21,Z04,17.465373,78.556172,1,single_vehicle,arterial,rain,0,0
INC-000053,2025-01-07,00:05,Z05,17.392793,78.430092,4,pedestrian,local,storm,2,0
INC-000054,2025-01-08,03:56,Z03,17.34865,78.504872,3,pedestrian,arterial,clear,0,0
INC-000055,2025-01-08,04:54,Z08,17.389964,78.590168,4,pedestrian,local,clear,2,0
INC-000056,2025-01-08,15:25,Z08,17.387022,78.451195,2,collision,local,fog,0,0
INC-000057,2025-01-08,11:59,Z08,17.407072,78.415902,3,collision,highway,storm,1,0
INC-000058,2025-01-08,11:19,Z06,17.319257,78.517134,1,single_vehicle,highway,clear,1,0
INC-000059,2025-01-08,09:09,Z13,17.304895,78.475207,2,single_vehicle,collector,clear,2,0
INC-000060,2025-01-09,04:01,Z03,17.44314,78.548617,2,multi_vehicle,collector,clear,1,0
INC-000061,2025-01-09,22:43,Z08,17.401654,78.504946,3,single_vehicle,highway,fog,2,0
INC-000062,2025-01-09,02:08,Z03,17.430907,78.525508,4,pedestrian,collector,clear,0,0
INC-000063,2025-01-09,06:07,Z03,17.494257,78.46305,3,pedestrian,arterial,clear,3,0
INC-000064,2025-01-09,22:21,Z01,17.476656,78.405362,2,cyclist,local,clear,2,0
INC-000065,2025-01-10,07:00,Z15,17.489705,78.575122,4,pedestrian,local,clear,3,0
INC-000066,2025-01-10,12:30,Z07,17.35844,78.534448,1,collision,local,clear,0,0
INC-000067,2025-01-10,14:49,Z04,17.459896,78.59701,3,collision,arterial,clear,3,0
INC-000068,2025-01-10,01:16,Z13,17.411857,78.439219,3,single_vehicle,local,clear,3,0
INC-000069,2025-01-10,11:24,Z03,17.353415,78.41539,5,pedestrian,highway,clear,1,0
INC-000070,2025-01-10,04:10,Z07,17.488496,78.512025,3,pedestrian,highway,rain,0,0
INC-000071,2025-01-10,07:51,Z08,17.40183,78.409831,2,pedestrian,arterial,clear,0,0
INC-000072,2025-01-10,06:07,Z11,17.414254,78.52781,2,pedestrian,local,rain,0,0
INC-000073,2025-01-10,15:41,Z03,17.341538,78.579269,2,single_vehicle,local,clear,0,0
INC-000074,2025-01-10,12:34,Z07,17.441709,78.575561,5,multi_vehicle,local,rain,1,1
INC-000075,2025-01-11,14:36,Z09,17.457294,78.521327,1,multi_vehicle,collector,fog,1,0
INC-000076,2025-01-11,17:23,Z03,17.447787,78.452211,5,single_vehicle,arterial,clear,1,0
INC-000077,2025-01-11,08:47,Z11,17.368732,78.596209,5,multi_vehicle,collector,rain,1,1
INC-000078,2025-01-11,17:47,Z05,17.319732,78.500501,3,collision,local,fog,2,0
INC-000079,2025-01-11,17:05,Z10,17.470805,78.596576,1,collision,arterial,clear,0,0
INC-000080,2025-01-11,02:33,Z01,17.312923,78.407202,4,pedestrian,collector,clear,1,0
INC-000081,2025-01-12,18:48,Z11,17.431051,78.500486,3,cyclist,local,clear,1,0
INC-000082,2025-01-12,16:18,Z07,17.348832,78.54753,2,cyclist,highway,clear,2,0
INC-000083,2025-01-12,17:52,Z11,17.324198,78.498609,5,pedestrian,highway,clear,2,1
INC-000084,2025-01-12,10:04,Z03,17.467555,78.575445,2,single_vehicle,local,clear,2,0
INC-000085,2025-01-12,00:27,Z06,17.394565,78.553109,3,single_vehicle,collector,clear,1,0
INC-000086,2025-01-12,07:42,Z13,17.314169,78.548636,4,pedestrian,collector,storm,3,0
INC-000087,2025-01-12,19:42,Z06,17.340704,78.501117,2,collision,arterial,clear,0,0
INC-000088,2025-01-12,15:37,Z09,17.349601,78.434081,3,cyclist,highway,fog,3,0
INC-000089,2025-01-13,08:56,Z07,17.382666,78.464765,4,pedestrian,collector,clear,4,0
INC-000090,2025-01-13,20:33,Z14,17.384266,78.562887,4,cyclist,local,clear,3,0
INC-000091,2025-01-13,21:04,Z03,17.478772,78.463608,2,multi_vehicle,highway,clear,0,0
INC-000092,2025-01-13,02:50,Z11,17.325121,78.562457,3,collision,collector,clear,1,0
INC-000093,2025-01-13,01:15,Z03,17.302517,78.559182,5,multi_vehicle,arterial,clear,4,0
INC-000094,2025-01-14,19:46,Z01,17.398501,78.525532,2,single_vehicle,arterial,clear,2,0
INC-000095,2025-01-14,04:03,Z04,17.356432,78.475804,1,single_vehicle,highway,storm,0,0
INC-000096,2025-01-14,09:26,Z04,17.489685,78.522795,1,single_vehicle,arterial,clear,1,0
INC-000097,2025-01-14,22:29,Z12,17.36285,78.400525,3,cyclist,local,rain,2,0
INC-000098,2025-01-14,07:17,Z14,17.340403,78.567728,3,cyclist,local,clear,0,0
INC-000099,2025-01-14,15:24,Z08,17.32933,78.467887,2,pedestrian,arterial,clear,0,0
INC-000100,2025-01-14,23:25,Z06,17.459421,78.489998,3,collision,arterial,fog,0,0
INC-000101,2025-01-15,01:28,Z05,17.336745,78.475589,1,single_vehicle,arterial,clear,0,0
INC-000102,2025-01-15,02:25,Z13,17.307645,78.536064,3,cyclist,arterial,storm,2,0
INC-000103,2025-01-15,06:22,Z13,17.355404,78.559944,1,cyclist,local,clear,1,0
INC-000104,2025-01-15,02:56,Z06,17.402893,78.585632,1,multi_vehicle,collector,rain,1,0
INC-000105,2025-01-15,12:12,Z07,17.337271,78.588466,1,collision,local,clear,1,0
INC-000106,2025-01-15,23:14,Z03,17.44942,78.543707,5,single_vehicle,arterial,clear,2,0
INC-000107,2025-01-16,07:08,Z04,17.403261,78.419863,4,pedestrian,arterial,clear,3,0
INC-000108,2025-01-16,15:49,Z08,17.300398,78.560125,5,pedestrian,local,clear,5,0
INC-000109,2025-01-16,13:03,Z06,17.400336,78.589057,1,cyclist,highway,rain,0,0
INC-000110,2025-01-16,15:16,Z01,17.356999,78.57321,3,pedestrian,highway,rain,1,0
INC-000111,2025-01-16,20:19,Z09,17.400195,78.542495,3,multi_vehicle,highway,clear,1,0
INC-000112,2025-01-16,17:20,Z03,17.461507,78.572459,4,single_vehicle,arterial,rain,0,0
INC-000113,2025-01-16,16:52,Z06,17.403445,78.45182,1,single_vehicle,local,clear,0,0
INC-000114,2025-01-17,11:42,Z01,17.376943,78.554299,2,collision,local,fog,1,0
INC-000115,2025-01-17,10:36,Z13,17.409627,78.437291,2,cyclist,arterial,clear,0,0
INC-000116,2025-01-17,04:21,Z08,17.308969,78.475206,3,collision,highway,storm,3,0
INC-000117,2025-01-17,12:14,Z01,17.363448,78.441347,2,single_vehicle,highway,clear,2,0
INC-000118,2025-01-17,00:44,Z03,17.350933,78.48398,2,pedestrian,arterial,fog,0,0
INC-000119,2025-01-17,13:32,Z06,17.305247,78.551042,3,multi_vehicle,collector,storm,1,0
INC-000120,2025-01-17,20:20,Z07,17.332918,78.57361,4,pedestrian,highway,storm,4,0
INC-000121,2025-01-17,11:11,Z05,17.336377,78.469303,3,collision,collector,clear,0,0
INC-000122,2025-01-17,02:27,Z13,17.353366,78.552686,3,collision,local,clear,3,0
INC-000123,2025-01-18,00:01,Z01,17.425323,78.401721,3,cyclist,arterial,rain,0,0
INC-000124,2025-01-18,11:33,Z06,17.385155,78.479142,4,pedestrian,highway,rain,1,0
INC-000125,2025-01-18,08:45,Z11,17.404156,78.578037,2,multi_vehicle,local,clear,2,0
INC-000126,2025-01-18,08:23,Z01,17.393469,78.532289,2,cyclist,collector,storm,1,0
INC-000127,2025-01-18,03:57,Z13,17.362186,78.591285,4,pedestrian,local,fog,4,0
INC-000128,2025-01-18,07:13,Z11,17.357381,78.473347,1,cyclist,highway,clear,1,0
INC-000129,2025-01-18,16:18,Z11,17.469153,78.575446,2,cyclist,local,rain,2,0
INC-000130,2025-01-18,21:39,Z06,17.375293,78.41145,4,pedestrian,local,clear,1,0
INC-000131,2025-01-18,19:47,Z02,17.422313,78.44921,4,cyclist,local,clear,3,0
INC-000132,2025-01-19,10:38,Z09,17.361087,78.454354,3,cyclist,highway,rain,3,0
INC-000133,2025-01-19,14:04,Z06,17.433125,78.436678,3,single_vehicle,local,rain,1,0
INC-000134,2025-01-19,13:08,Z11,17.474147,78.495577,4,pedestrian,arterial,storm,0,0
INC-000135,2025-01-19,12:37,Z06,17.458557,78.566243,2,single_vehicle,highway,clear,2,0
INC-000136,2025-01-19,01:30,Z07,17.448354,78.576278,2,collision,arterial,clear,1,0
INC-000137,2025-01-19,00:27,Z02,17.40102,78.53415,3,cyclist,highway,clear,0,0
INC-000138,2025-01-19,07:01,Z06,17.416483,78.575155,3,collision,arterial,rain,1,0
INC-000139,2025-01-19,01:24,Z06,17.451176,78.465862,3,pedestrian,highway,clear,1,0
INC-000140,2025-01-20,22:12,Z13,17.308428,78.594896,3,pedestrian,collector,clear,2,0
INC-000141,2025-01-20,13:18,Z10,17.466623,78.439647,3,collision,local,rain,1,0
INC-000142,2025-01-20,18:44,Z11,17.390447,78.591325,3,single_vehicle,local,clear,0,0
INC-000143,2025-01-20,13:14,Z05,17.418092,78.599196,2,cyclist,highway,clear,2,0
INC-000144,2025-01-20,12:12,Z11,17.374131,78.410326,4,cyclist,arterial,clear,1,0
INC-000145,2025-01-20,12:04,Z03,17.349189,78.44503,3,cyclist,arterial,storm,3,0
INC-000146,2025-01-20,06:05,Z13,17.458931,78.510139,2,collision,highway,clear,1,0
INC-000147,2025-01-20,12:36,Z02,17.495933,78.428909,4,pedestrian,collector,clear,0,0
INC-000148,2025-01-20,06:33,Z14,17.314152,78.51219,2,collision,collector,fog,2,0
INC-000149,2025-01-20,01:56,Z05,17.302748,78.573191,2,multi_vehicle,arterial,clear,2,0
INC-000150,2025-01-21,05:20,Z11,17.427804,78.525952,4,single_vehicle,highway,clear,2,0
INC-000151,2025-01-21,16:50,Z13,17.307769,78.598469,4,multi_vehicle,collector,fog,2,0
INC-000152,2025-01-21,08:30,Z03,17.306207,78.578708,2,single_vehicle,collector,clear,2,0
INC-000153,2025-01-21,05:44,Z10,17.431958,78.529626,2,multi_vehicle,local,rain,0,0
INC-000154,2025-01-21,12:25,Z05,17.336175,78.460462,5,pedestrian,local,clear,4,0
INC-000155,2025-01-22,14:43,Z10,17.350314,78.530988,1,collision,highway,rain,0,0
INC-000156,2025-01-22,23:28,Z14,17.409054,78.476239,3,collision,collector,clear,3,0
INC-000157,2025-01-22,10:37,Z04,17.391168,78.443631,3,collision,local,clear,3,0
INC-000158,2025-01-22,23:38,Z08,17.390179,78.596745,2,collision,collector,rain,2,0
INC-000159,2025-01-22,11:46,Z11,17.396459,78.519424,5,cyclist,highway,clear,1,1
INC-000160,2025-01-22,04:10,Z10,17.387219,78.576147,4,multi_vehicle,collector,clear,4,0
INC-000161,2025-01-22,21:58,Z05,17.469696,78.422652,3,multi_vehicle,arterial,rain,1,0
INC-000162,2025-01-22,10:28,Z12,17.42046,78.503207,3,cyclist,arterial,clear,2,0
INC-000163,2025-01-22,10:41,Z01,17.322954,78.569426,4,pedestrian,arterial,clear,4,0
INC-000164,2025-01-22,08:26,Z03,17.312239,78.566391,4,pedestrian,collector,rain,3,0
INC-000165,2025-01-23,08:53,Z13,17.411734,78.500847,4,cyclist,highway,rain,0,0
INC-000166,2025-01-23,16:17,Z07,17.443831,78.498334,3,single_vehicle,collector,clear,3,0
INC-000167,2025-01-23,18:27,Z07,17.390054,78.588713,1,single_vehicle,arterial,clear,0,0
INC-000168,2025-01-23,06:30,Z10,17.479082,78.487717,1,single_vehicle,highway,storm,1,0
INC-000169,2025-01-23,20:31,Z07,17.308044,78.468559,3,collision,highway,clear,0,0
INC-000170,2025-01-23,02:01,Z01,17.488469,78.425509,1,single_vehicle,local,clear,1,0
INC-000171,2025-01-23,02:39,Z10,17.340072,78.559757,3,single_vehicle,collector,clear,3,0
INC-000172,2025-01-23,13:29,Z02,17.420958,78.540048,1,collision,local,clear,0,0
INC-000173,2025-01-24,19:56,Z13,17.338672,78.420959,3,collision,local,clear,0,0
INC-000174,2025-01-24,22:39,Z02,17.310187,78.498757,4,collision,collector,clear,3,0
INC-000175,2025-01-24,23:11,Z04,17.349277,78.434599,2,collision,arterial,rain,0,0
INC-000176,2025-01-24,04:50,Z10,17.477903,78.562812,1,cyclist,collector,clear,1,0
INC-000177,2025-01-24,03:18,Z09,17.386557,78.467527,5,pedestrian,local,clear,4,0
INC-000178,2025-01-25,03:30,Z04,17.330546,78.545718,2,pedestrian,arterial,clear,0,0
INC-000179,2025-01-25,03:09,Z12,17.387913,78.583555,3,collision,highway,clear,3,0
INC-000180,2025-01-25,02:28,Z12,17.489149,78.556558,2,multi_vehicle,highway,clear,1,0
INC-000181,2025-01-25,18:24,Z11,17.454595,78.599042,3,cyclist,arterial,storm,0,0
INC-000182,2025-01-25,09:00,Z05,17.364767,78.532475,2,cyclist,local,clear,0,0
INC-000183,2025-01-25,12:05,Z01,17.316557,78.528734,4,single_vehicle,arterial,fog,2,0
INC-000184,2025-01-25,03:54,Z07,17.372307,78.471776,3,cyclist,highway,rain,0,0
INC-000185,2025-01-25,06:25,Z10,17.471896,78.579199,4,collision,collector,clear,3,0
INC-000186,2025-01-25,18:23,Z12,17.300562,78.470792,1,collision,local,clear,0,0
INC-000187,2025-01-25,19:06,Z01,17.446604,78.486453,2,multi_vehicle,local,storm,0,0
INC-000188,2025-01-26,11:00,Z04,17.360476,78.461488,3,multi_vehicle,arterial,clear,0,0
INC-000189,2025-01-26,20:24,Z02,17.465708,78.485095,5,multi_vehicle,collector,storm,0,1
INC-000190,2025-01-26,13:36,Z05,17.350181,78.435667,3,pedestrian,arterial,clear,1,0
INC-000191,2025-01-26,07:19,Z15,17.445411,78.513321,2,cyclist,collector,clear,0,0
INC-000192,2025-01-26,17:02,Z04,17.451558,78.531985,4,pedestrian,collector,clear,4,0
INC-000193,2025-01-27,00:41,Z02,17.429545,78.577129,3,cyclist,local,clear,2,0
INC-000194,2025-01-27,03:44,Z14,17.463765,78.415983,4,cyclist,highway,storm,2,0
INC-000195,2025-01-27,09:07,Z15,17.318539,78.47317,3,pedestrian,highway,rain,0,0
INC-000196,2025-01-27,00:10,Z11,17.412514,78.527346,3,pedestrian,arterial,clear,3,0
INC-000197,2025-01-27,16:53,Z15,17.372177,78.528857,2,collision,collector,clear,0,0
INC-000198,2025-01-27,22:48,Z13,17.489043,78.549262,3,single_vehicle,arterial,clear,0,0
INC-000199,2025-01-27,20:50,Z15,17.437438,78.431047,5,single_vehicle,highway,rain,0,1
INC-000200,2025-01-27,04:06,Z14,17.471793,78.473925,1,multi_vehicle,collector,fog,0,0
INC-000201,2025-01-28,08:58,Z03,17.468532,78.576396,2,cyclist,collector,rain,2,0
INC-000202,2025-01-28,23:10,Z07,17.429088,78.516365,1,single_vehicle,arterial,clear,0,0
INC-000203,2025-01-28,10:46,Z07,17.46382,78.525434,5,collision,local,fog,3,0
INC-000204,2025-01-28,06:17,Z04,17.484204,78.520437,4,collision,highway,clear,1,0
INC-000205,2025-01-28,17:27,Z13,17.365107,78.504649,3,pedestrian,local,clear,0,0
INC-000206,2025-01-28,19:18,Z02,17.467089,78.480764,3,single_vehicle,highway,clear,3,0
INC-000207,2025-01-28,11:24,Z15,17.329153,78.525944,1,collision,arterial,clear,0,0
INC-000208,2025-01-28,21:01,Z02,17.431907,78.587828,2,cyclist,highway,storm,0,0
INC-000209,2025-01-28,23:47,Z05,17.318162,78.537685,1,single_vehicle,local,clear,0,0
INC-000210,2025-01-28,11:39,Z01,17.344475,78.495856,5,cyclist,local,rain,2,1
INC-000211,2025-01-29,14:22,Z05,17.357799,78.509313,5,pedestrian,arterial,clear,1,0
INC-000212,2025-01-29,14:13,Z11,17.344608,78.454339,1,multi_vehicle,collector,clear,1,0
INC-000213,2025-01-29,21:10,Z14,17.384191,78.521331,4,cyclist,arterial,clear,0,0
INC-000214,2025-01-29,15:12,Z06,17.490383,78.408957,3,single_vehicle,collector,clear,1,0
INC-000215,2025-01-29,00:51,Z02,17.482711,78.402113,2,pedestrian,highway,clear,0,0
INC-000216,2025-01-29,02:00,Z11,17.474408,78.522229,3,pedestrian,arterial,clear,0,0
INC-000217,2025-01-30,20:36,Z04,17.491538,78.45926,4,pedestrian,collector,clear,3,0
INC-000218,2025-01-30,00:26,Z11,17.321248,78.436265,4,collision,arterial,rain,1,0
INC-000219,2025-01-30,12:47,Z13,17.355324,78.539855,4,cyclist,local,rain,0,0
INC-000220,2025-01-30,15:33,Z03,17.470133,78.528769,5,pedestrian,arterial,clear,2,0
INC-000221,2025-01-30,20:06,Z14,17.327944,78.478109,3,collision,arterial,clear,3,0
INC-000222,2025-01-30,17:27,Z01,17.35447,78.45928,2,single_vehicle,highway,clear,1,0
INC-000223,2025-01-30,17:50,Z12,17.360268,78.512015,2,multi_vehicle,arterial,clear,2,0
INC-000224,2025-01-30,14:54,Z07,17.373851,78.461986,3,pedestrian,arterial,clear,1,0
INC-000225,2025-01-31,11:52,Z07,17.493797,78.529465,2,single_vehicle,collector,clear,0,0
INC-000226,2025-01-31,10:48,Z11,17.427691,78.525672,5,pedestrian,highway,clear,4,0
INC-000227,2025-01-31,08:03,Z06,17.348381,78.477052,1,collision,highway,rain,0,0
INC-000228,2025-01-31,18:06,Z06,17.460459,78.402011,3,collision,arterial,clear,3,0
INC-000229,2025-01-31,00:25,Z03,17.33558,78.498236,4,collision,local,fog,4,0
INC-000230,2025-01-31,02:18,Z14,17.340286,78.593015,3,multi_vehicle,local,clear,2,0
INC-000231,2025-01-31,21:28,Z06,17.370162,78.582092,4,cyclist,collector,clear,3,0
INC-000232,2025-02-01,15:10,Z15,17.449332,78.470939,3,collision,local,storm,0,0
INC-000233,2025-02-01,08:41,Z06,17.424853,78.439851,3,multi_vehicle,local,clear,2,0
INC-000234,2025-02-01,00:09,Z04,17.394419,78.400001,4,single_vehicle,collector,clear,0,0
INC-000235,2025-02-01,03:06,Z09,17.39424,78.530214,3,multi_vehicle,local,fog,2,0
INC-000236,2025-02-01,13:53,Z04,17.308176,78.463465,2,cyclist,highway,clear,0,0
INC-000237,2025-02-01,02:50,Z09,17.328804,78.581127,3,collision,highway,fog,0,0
INC-000238,2025-02-01,23:26,Z13,17.490527,78.40641,1,multi_vehicle,arterial,rain,1,0
INC-000239,2025-02-02,22:32,Z08,17.416387,78.46925,5,pedestrian,collector,clear,0,1
INC-000240,2025-02-02,16:45,Z01,17.39282,78.423746,1,cyclist,highway,clear,1,0
INC-000241,2025-02-02,15:05,Z01,17.445623,78.430316,3,collision,highway,clear,1,0
INC-000242,2025-02-02,12:53,Z09,17.348557,78.570007,5,cyclist,local,clear,0,1
INC-000243,2025-02-02,22:04,Z15,17.493293,78.425959,3,single_vehicle,local,clear,3,0
INC-000244,2025-02-02,08:22,Z07,17.429988,78.4933,4,multi_vehicle,arterial,storm,0,0
INC-000245,2025-02-02,21:22,Z04,17.404224,78.421608,4,single_vehicle,collector,clear,0,0
INC-000246,2025-02-02,12:40,Z10,17.318654,78.438976,2,collision,arterial,clear,1,0
INC-000247,2025-02-02,08:50,Z07,17.417014,78.471424,3,multi_vehicle,local,fog,2,0
INC-000248,2025-02-02,11:44,Z09,17.418413,78.571486,4,pedestrian,local,clear,3,0
INC-000249,2025-02-03,20:58,Z09,17.343602,78.508165,1,single_vehicle,arterial,clear,0,0
INC-000250,2025-02-03,16:24,Z07,17.332766,78.442259,3,cyclist,highway,rain,2,0
INC-000251,2025-02-03,00:43,Z01,17.45053,78.491201,4,single_vehicle,arterial,clear,0,0
INC-000252,2025-02-03,10:56,Z07,17.478954,78.597975,2,cyclist,arterial,storm,0,0
INC-000253,2025-02-03,01:53,Z08,17.367214,78.519373,1,single_vehicle,collector,clear,0,0
INC-000254,2025-02-03,06:18,Z12,17.441972,78.432165,3,single_vehicle,collector,clear,1,0
INC-000255,2025-02-03,05:52,Z04,17.34443,78.584737,3,single_vehicle,collector,clear,1,0
INC-000256,2025-02-03,10:04,Z13,17.332569,78.522913,5,pedestrian,highway,fog,0,1
INC-000257,2025-02-04,06:27,Z06,17.429782,78.409958,1,multi_vehicle,arterial,clear,1,0
INC-000258,2025-02-04,00:12,Z12,17.383969,78.526101,4,pedestrian,local,clear,1,0
INC-000259,2025-02-04,18:34,Z15,17.347014,78.587785,1,collision,arterial,clear,0,0
INC-000260,2025-02-04,17:38,Z04,17.370074,78.58848,2,pedestrian,collector,clear,0,0
INC-000261,2025-02-04,22:32,Z04,17.318463,78.509665,2,pedestrian,local,clear,2,0
INC-000262,2025-02-04,19:59,Z01,17.397641,78.467106,5,collision,highway,rain,4,1
INC-000263,2025-02-04,18:31,Z09,17.448933,78.554259,1,collision,highway,rain,0,0
INC-000264,2025-02-04,04:54,Z02,17.346821,78.46649,3,single_vehicle,highway,clear,1,0
INC-000265,2025-02-04,15:20,Z04,17.473201,78.406576,2,single_vehicle,local,rain,1,0
INC-000266,2025-02-05,09:19,Z13,17.335688,78.452482,1,pedestrian,collector,clear,1,0
INC-000267,2025-02-05,03:36,Z07,17.333215,78.597986,1,single_vehicle,collector,clear,1,0
INC-000268,2025-02-05,22:15,Z12,17.446595,78.498765,1,cyclist,highway,rain,0,0
INC-000269,2025-02-05,18:46,Z15,17.313178,78.461463,3,single_vehicle,arterial,rain,1,0
INC-000270,2025-02-05,09:47,Z05,17.372964,78.545396,3,collision,arterial,clear,1,0
INC-000271,2025-02-05,07:18,Z02,17.308351,78.523868,4,cyclist,highway,rain,2,0
INC-000272,2025-02-05,20:22,Z03,17.305602,78.437715,2,single_vehicle,local,fog,2,0
INC-000273,2025-02-05,22:23,Z13,17.351781,78.444853,3,cyclist,collector,clear,3,0
INC-000274,2025-02-05,15:01,Z07,17.463914,78.547183,4,pedestrian,highway,storm,4,0
INC-000275,2025-02-05,01:29,Z08,17.41995,78.532479,1,cyclist,arterial,rain,1,0
INC-000276,2025-02-06,18:32,Z04,17.470623,78.414926,3,collision,arterial,storm,1,0
INC-000277,2025-02-06,11:59,Z01,17.491008,78.444732,2,multi_vehicle,local,clear,0,0
INC-000278,2025-02-06,22:36,Z08,17.383014,78.454159,2,collision,highway,clear,1,0
INC-000279,2025-02-06,23:16,Z05,17.459095,78.445957,3,pedestrian,local,clear,3,0
INC-000280,2025-02-06,20:06,Z03,17.486402,78.557552,4,pedestrian,collector,clear,2,0
INC-000281,2025-02-06,20:32,Z15,17.347854,78.538378,1,single_vehicle,collector,clear,1,0
INC-000282,2025-02-06,07:41,Z03,17.423121,78.456429,5,pedestrian,highway,rain,3,0
INC-000283,2025-02-06,20:07,Z11,17.482116,78.528004,1,multi_vehicle,local,fog,0,0
INC-000284,2025-02-06,17:03,Z01,17.4128,78.506994,1,multi_vehicle,highway,rain,1,0
INC-000285,2025-02-06,06:11,Z13,17.495114,78.458999,1,multi_vehicle,collector,storm,1,0
